edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,44,11.76,100,no,yes,no,NA,west,S,English,female,32,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,NA,NA,78.57,61,35.29,100,no,yes,no,yes,midwest,S,English,male,33,Republica,Do not know,NA,NA,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,64.29,NA,29.41,100,NA,yes,no,NA,midwest,S,English,male,38,Republica,Do not know,very conservative,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,NA,NA,NA,42.86,83,47.06,28.57,yes,no,no,no,North East,S,English,female,56,Republica,Democrat,NA,yes both,high,men,no difference,men,men,women,women,men,men,NA,men,men,women,women,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,NA,58.82,100,NA,yes,yes,NA,midwest,U,English,female,70,Republica,Do not know,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,NA,US citizen,US born,either,yes,yes,NA,50,NA,78.57,no,yes,NA,NA,midwest,S,English,male,52,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,NA,11.76,100,NA,yes,no,NA,south,R,English,male,40,Republica,Republican,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,21.43,50,23.53,50,no,yes,no,no,midwest,R,English,female,59,Republica,NA,very conservative,my spouse is,high,men,no difference,no difference,men,women,no difference,men,men,NA,NA,men,women,NA,men
two year college,less than college,NA,US citizen,US born,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,south,S,English,female,99,Republica,NA,NA,NA,NA,NA,women,women,no difference,no difference,NA,NA,NA,women,women,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,72,76.47,35.71,NA,no,yes,NA,south,U,English,female,60,Republica,Do not know,very conservative,yes both,high,women,women,women,men,women,women,men,women,women,women,men,women,women,men
